name,all,cpu
A,1807.1,1805.734
A,1789.5539999999999,1788.6879999999999
A,1794.8370000000002,1792.922
A,1803.3029999999999,1801.094
A,1786.165,1785.391
A,1792.7089999999998,1791.375
A,1801.7579999999998,1800.531
A,1789.1029999999998,1787.328
A,1807.391,1805.859
A,1806.547,1805.469
A,1791.019,1789.609
A,1793.8339999999998,1792.594
A,1795.364,1794.141
A,1787.777,1786.625
A,1790.043,1788.766
B,1788.899,1787.656
B,1790.236,1788.5
B,1782.901,1781.234
B,1788.3010000000002,1786.516
B,1792.965,1791.594
B,1799.047,1797.172
B,1810.0739999999998,1808.656
B,1789.519,1788.078
B,1802.695,1800.781
B,1791.8039999999999,1790.547
B,1796.105,1794.641
B,1791.668,1789.5629999999999
B,1801.049,1799.625
B,1795.523,1793.406
B,1792.5770000000002,1790.953
C,1795.195,1793.672
C,1797.004,1795.734
C,1790.97,1789.094
C,1788.896,1787.359
C,1793.6129999999998,1792.844
C,1795.8410000000001,1794.344
C,1794.2579999999998,1792.984
C,1796.6429999999998,1794.9379999999999
C,1795.4189999999999,1793.4379999999999
C,1792.043,1790.828
C,1794.9470000000001,1793.75
C,1793.378,1792.156
C,1793.079,1791.6879999999999
C,1795.418,1794.219
C,1795.888,1794.422
D,1791.4,1790.031
D,1797.5739999999998,1795.672
D,1791.126,1789.219
D,1796.414,1794.5
D,1788.0929999999998,1785.547
D,1787.94,1786.266
D,1790.546,1788.766
D,1792.2020000000002,1790.766
D,1787.9470000000001,1786.375
D,1790.0620000000001,1788.547
D,1787.257,1785.6879999999999
D,1798.328,1796.344
D,1791.365,1789.859
D,1787.0179999999998,1785.094
D,1794.885,1793.6879999999999
E,1798.047,1795.734
E,1793.5739999999998,1792.016
E,1806.608,1805.047
E,1794.174,1792.719
E,1809.8020000000001,1808.406
E,1798.64,1797.078
E,1798.694,1797.0629999999999
E,1799.868,1798.297
E,1794.88,1793.359
E,1800.954,1799.75
E,1798.3229999999999,1796.766
E,1811.183,1809.766
E,1796.259,1795.219
E,1801.207,1799.594
E,1801.4229999999998,1800.078
F,1796.476,1795.031
F,1793.825,1792.297
F,1787.019,1785.297
F,1794.253,1792.203
F,1787.565,1786.5
F,1806.3870000000002,1804.5629999999999
F,1800.649,1798.953
F,1793.2120000000002,1791.8129999999999
F,1798.4160000000002,1796.875
F,1799.533,1798.0
F,1799.349,1797.797
F,1792.1270000000002,1791.203
F,1801.7920000000001,1800.391
F,1792.098,1791.203
F,1786.681,1785.578
G,1814.4620000000002,1812.656
G,1814.796,1813.516
G,1811.86,1810.453
G,1800.45,1797.25
G,1814.1429999999998,1812.344
G,1820.7879999999998,1818.906
G,1799.46,1797.719
G,1793.761,1791.766
G,1815.6770000000001,1813.781
G,1797.318,1795.453
G,1823.9189999999999,1822.281
G,1795.358,1793.391
G,1795.185,1793.25
G,1803.348,1801.219
G,1811.922,1810.203
H,1813.33,1811.766
H,1789.8139999999999,1788.4379999999999
H,1790.276,1788.797
H,1803.1589999999999,1801.375
H,1800.7279999999998,1799.141
H,1805.5929999999998,1803.578
H,1803.9620000000002,1802.469
H,1792.1989999999998,1790.328
H,1805.615,1804.203
H,1802.433,1800.5
H,1790.725,1789.281
H,1790.965,1789.156
H,1787.317,1785.0
H,1799.8670000000002,1798.578
H,1795.418,1794.281
W,1794.162,1793.094
W,1798.141,1796.328
W,1836.079,1834.891
W,1788.586,1787.078
W,1794.717,1793.594
W,1795.568,1793.906
W,1798.408,1797.406
W,1825.945,1824.109
W,1799.355,1798.1879999999999
W,1823.475,1822.406
W,1792.682,1791.266
W,1830.983,1829.828
W,1799.759,1798.922
W,1802.8670000000002,1801.25
W,1818.1970000000001,1817.0629999999999
X,1909.7089999999998,1908.016
X,1800.3210000000001,1798.922
X,1801.6229999999998,1800.391
X,1793.454,1791.6879999999999
X,1899.431,1897.797
X,1848.3370000000002,1846.5
X,1820.374,1818.594
X,1799.418,1798.297
X,1847.0410000000002,1845.6879999999999
X,1792.691,1791.484
X,1895.211,1893.484
X,1795.2220000000002,1793.797
X,1798.233,1796.406
X,1822.5520000000001,1820.922
X,1804.4589999999998,1803.141
Y,1803.9489999999998,1801.859
Y,1801.035,1798.672
Y,1812.435,1809.531
Y,1791.648,1790.219
Y,1806.695,1804.594
Y,1799.385,1797.375
Y,1805.9189999999999,1803.922
Y,1802.9160000000002,1800.484
Y,1797.513,1795.672
Y,1800.1370000000002,1798.141
Y,1801.119,1799.125
Y,1797.243,1794.844
Y,1796.076,1794.4379999999999
Y,1796.3429999999998,1794.1879999999999
Y,1804.882,1802.8129999999999
Z,1817.819,1815.625
Z,1812.759,1811.25
Z,1796.674,1794.953
Z,1803.7379999999998,1801.266
Z,1816.026,1814.625
Z,1806.654,1804.922
Z,1828.625,1826.859
Z,1817.171,1815.5629999999999
Z,1802.037,1800.25
Z,1805.04,1803.391
Z,1823.8229999999999,1822.219
Z,1809.204,1807.703
Z,1802.84,1801.172
Z,1801.741,1800.719
Z,1815.684,1813.391
